targetID,frameIndex,cameraID,expectedX,expectedY,actualX,actualY
1,3847,18,1209.02523905,910.03080079,1203.68750000,908.69531250
1,1286,4,819.97702100,70.08851844,822.53906250,66.87500000
1,1429,7,170.11512110,675.41910245,167.94531250,676.25000000
1,183,19,312.07626619,907.95120004,304.14062500,909.70312500
1,2303,17,193.76802569,103.32407331,193.17187500,102.17187500
1,5086,3,1208.94020143,279.91560608,1210.12500000,277.32031250
1,353,19,1039.90582440,880.31806680,1034.15625000,882.74218750
1,4926,3,1056.08158801,336.57955144,1061.08593750,333.06250000
1,3298,5,571.43237937,109.24724387,570.75781250,104.09375000
1,2619,11,309.02892345,953.10327434,310.12500000,955.02343750
1,3486,2,1048.94884494,432.93930026,1055.74218750,437.30468750
1,1968,20,589.11531160,193.11900036,584.05468750,187.89843750
1,4466,15,871.66201940,738.09208626,873.74218750,742.36718750
1,3679,21,966.98698572,113.96282161,965.39062500,113.46093750
1,4786,9,649.95999468,502.90975417,651.53125000,503.00781250
1,513,13,309.97605773,70.02914099,312.75781250,66.64062500
1,4628,6,782.64178880,798.03410947,784.18750000,800.93750000
1,183,16,940.46114212,731.15624262,943.12500000,736.17187500
1,3118,5,459.00348784,953.01588900,456.34375000,955.71875000
1,1117,7,69.94167220,892.97614570,74.23437500,890.98437500
1,1429,4,1152.03584439,908.01980226,1148.85156250,910.19531250
1,2955,5,961.28167428,949.71154278,961.50781250,951.96875000
1,655,16,302.45170824,129.92450809,304.44531250,125.92968750
1,1286,1,488.12995038,314.71628717,485.35937500,312.44531250
1,2303,14,1090.00796791,70.05685848,1090.06250000,74.57812500
1,969,10,1049.07309953,792.97896404,1051.20312500,797.25781250
1,4157,14,1170.65094149,408.05302237,1173.39062500,411.10937500
1,353,16,248.86958505,952.93244297,247.07812500,951.50781250
1,4927,6,247.10397295,113.90978562,244.05468750,115.14062500
1,4317,9,236.23385647,136.24148889,234.89062500,133.51562500
1,3298,2,700.12322346,70.00170483,706.83593750,66.41406250
1,5087,3,1209.00681506,309.99373450,1210.71875000,307.10156250
1,826,13,151.36115080,629.32018064,146.77343750,625.03906250
1,2620,14,1001.01598362,909.99655707,1001.28906250,912.59375000
1,1811,21,94.91997151,314.46297638,85.37500000,311.57812500
1,3848,20,1177.72626076,929.14084184,1172.73437500,931.21875000
1,2809,8,1149.89574504,69.96423202,1149.91406250,73.78125000
1,4003,18,228.92655777,587.94504376,223.79687500,586.22656250
1,2122,20,1188.59845209,907.25423917,1182.49218750,908.71875000
1,2457,14,127.01109967,787.99693741,125.96875000,785.88281250
1,3,19,130.04176868,69.94793531,127.10937500,70.14062500
1,1591,1,908.95991806,952.92021179,914.15625000,954.17968750
1,4466,12,372.06622391,907.92610826,371.41406250,909.40625000
1,3680,21,1026.93791391,114.00620719,1024.88281250,114.71093750
1,4629,9,489.03859958,953.10030159,487.19531250,956.71093750
1,184,19,252.11433064,908.04420321,244.90625000,908.79687500
1,3119,8,841.36783854,904.00874375,842.51562500,906.54687500
1,1969,20,709.01673914,193.02179474,705.90625000,188.34375000
1,1117,4,1166.54875596,674.38408267,1167.13281250,677.78125000
1,1430,7,225.88570442,690.95010393,223.01562500,692.27343750
1,2956,8,251.95262927,908.10293685,252.04687500,905.73437500
1,4787,9,649.99755961,518.97253722,651.46875000,519.24218750
1,514,16,888.04378120,335.92650330,893.63281250,335.40625000
1,3487,2,1048.87741141,553.06951163,1054.35937500,558.84375000
1,2620,11,279.06894032,952.94571508,280.55468750,954.48437500
1,2304,17,163.89372148,103.40739576,164.00000000,102.80468750
1,354,19,1068.92477460,888.27719462,1062.65625000,890.23437500
1,3299,5,541.61445471,109.22130094,540.40625000,104.16406250
1,1287,4,850.00220008,69.97226059,852.46875000,67.15625000
1,655,13,967.06591188,114.02127906,970.39843750,115.95312500
1,5088,3,1208.90106048,340.06604986,1211.20312500,336.89843750
1,4927,3,999.98420812,321.20139982,1004.92968750,317.48437500
1,826,10,1178.95981393,953.06814407,1174.75781250,954.17187500
1,4004,18,229.05959006,468.03716709,224.25781250,465.60937500
1,4318,12,1060.02692639,70.05208383,1059.22656250,69.74218750
1,4,19,159.97528238,70.07835204,156.15625000,69.68750000
1,3848,17,112.95804103,931.09746737,111.24218750,928.37500000
1,2810,11,95.38210347,102.23622910,96.95312500,108.10937500
1,1592,1,879.11754504,953.08128600,884.19531250,954.78906250
1,2122,17,99.06515594,953.08216718,99.17968750,950.66406250
1,970,13,229.37894184,777.37356425,223.20312500,774.97656250
1,1812,20,1209.01952648,339.97255005,1206.68750000,341.63281250
1,4157,15,70.12337180,413.01299280,69.55468750,410.16406250
1,2458,14,127.05696745,727.91720006,125.39843750,726.21093750
1,4467,15,927.87911965,722.42759232,930.59375000,726.54687500
1,2956,5,1021.52895507,949.71590803,1021.57812500,951.10156250
1,3848,18,1208.91103188,940.02582607,1202.74218750,937.89843750
1,4318,9,207.16671687,128.20731508,206.21875000,125.95312500
1,3681,21,1086.99125420,114.05401529,1084.05468750,116.10156250
1,2459,14,127.05523327,668.08440662,125.03906250,666.52343750
1,1812,21,94.97134396,344.41194033,85.02343750,341.53125000
1,3119,5,429.00247648,952.92401278,426.03906250,955.28906250
1,1118,7,70.09207410,863.06738000,73.86718750,861.61718750
1,1970,20,829.05205920,193.11747929,827.34375000,189.45312500
1,2810,8,1179.90139530,69.95887890,1179.17968750,74.49218750
1,4629,6,811.23652611,805.79842194,813.10156250,808.62500000
1,5089,3,1208.91288746,370.05064860,1211.76562500,366.67187500
1,970,10,1048.96177287,828.02948128,1050.59375000,832.18750000
1,2621,14,1031.02005591,909.89014003,1031.06250000,912.10937500
1,184,16,996.54312492,715.39689753,999.20312500,720.28906250
1,3299,2,730.08006422,70.08599679,737.25000000,66.95312500
1,354,16,218.96641978,953.03335288,217.49218750,950.89062500
1,1287,1,460.07495872,322.56591618,457.17968750,320.65625000
1,4928,6,306.92198077,114.06070620,303.03125000,114.04687500
1,656,16,244.08826769,113.70101854,247.08593750,110.51562500
1,4005,18,229.03839842,347.98649610,225.09375000,345.13281250
1,2122,21,74.49113303,912.17741985,67.70312500,909.29687500
1,1430,4,1091.96470001,907.99556721,1090.12500000,911.07812500
1,3488,2,1048.99000423,673.10162886,1052.52343750,680.17187500
1,5,19,190.12247718,70.00902121,185.77343750,69.06250000
1,4158,14,1170.47244617,378.21874720,1173.08593750,381.32812500
1,827,13,178.85228203,637.01705702,173.58593750,633.20312500
1,4788,9,628.90630984,518.93826241,629.82812500,519.16406250
1,514,13,340.03874568,69.99607822,342.50000000,66.42187500
1,1593,1,848.92954364,952.88678511,854.00781250,955.07812500
1,2304,14,1120.04387749,69.98999140,1119.42968750,75.17968750
1,4467,12,312.06690216,908.07318395,311.46875000,908.77343750
1,2957,8,191.88631873,907.98991389,193.51562500,904.24218750
1,5090,3,1209.04196413,399.98249381,1212.25781250,396.44531250
1,3849,20,1175.78784573,916.23380467,1171.16406250,918.60937500
1,4005,15,1092.77582499,102.34022893,1094.89843750,108.26562500
1,1288,4,880.12884972,69.98567362,882.73437500,67.61718750
1,1971,20,949.05291013,192.90587580,948.26562500,190.82812500
1,1813,20,1208.97151663,369.95204135,1206.77343750,371.65625000
1,3120,8,871.26241094,903.81399550,872.57812500,906.13281250
1,656,13,1026.87914222,114.07824210,1029.44531250,117.59375000
1,2123,17,69.86777511,953.10847635,70.69531250,950.03125000
1,4630,9,458.97206020,952.93367354,456.75781250,956.28125000
1,2621,11,248.90944260,953.02978645,250.63281250,954.12500000
1,2305,17,134.03892057,103.48319113,134.79687500,103.50000000
1,1118,4,1177.33673298,701.61845121,1177.13281250,704.99218750
1,185,19,192.07665181,908.03895677,185.65625000,907.53906250
1,355,19,1097.93959060,896.33901095,1090.97656250,897.76562500
1,4928,3,944.08319238,305.55557947,948.72656250,301.76562500
1,2810,12,1185.92070157,95.39289252,1183.37500000,97.31250000
1,1431,7,281.64200471,706.53000210,278.64062500,708.47656250
1,1594,1,819.04947427,953.12143522,824.02343750,955.69531250
1,4158,15,69.95389760,382.99728726,69.78906250,380.28125000
1,4319,12,1089.86755104,69.91665906,1088.45312500,70.12500000
1,3489,2,1048.95963794,792.92028985,1050.11718750,800.47656250
1,515,16,860.24448321,328.28830115,865.52343750,327.28906250
1,971,13,343.76032431,809.35229295,336.98437500,809.29687500
1,2460,14,127.00899493,607.88360136,124.75781250,606.28125000
1,827,10,1149.06123995,952.97129406,1145.91406250,954.47656250
1,6,19,220.02777788,69.98354281,214.90625000,68.58593750
1,4789,6,69.99373013,69.91885478,74.39062500,76.48437500
1,3682,21,1146.99147151,114.07881796,1142.94531250,117.61718750
1,4468,15,984.14949154,707.05682262,987.39062500,711.07031250
1,3849,17,113.13404006,944.03071891,111.47656250,941.07812500
1,4006,18,229.04142936,228.02829555,226.65625000,225.42968750
1,1972,20,1048.93365951,193.03795113,1047.89062500,192.51562500
1,1288,1,431.93148555,330.31172023,428.64843750,328.79687500
1,3300,2,760.08992524,69.92834005,767.21093750,67.33593750
1,5091,3,1209.02288661,430.03143810,1212.69531250,426.36718750
1,657,16,185.21175407,97.48193178,189.43750000,95.34375000
1,4630,6,839.92833175,813.88343547,842.11718750,816.54687500
1,1813,21,94.91951863,374.25666190,84.53906250,371.45312500
1,2622,14,1060.71808435,909.79338420,1060.22656250,911.64062500
1,2123,21,103.50970716,908.38160590,95.82812500,906.21875000
1,2957,5,1081.82351855,949.92524079,1080.82812500,950.28906250
1,2305,14,1150.06181570,69.93070163,1148.88281250,75.82031250
1,3120,5,398.88013108,953.07405000,395.74218750,955.00781250
1,185,16,1052.53887005,699.76060424,1055.11718750,704.50781250
1,1119,7,69.99972497,833.06790637,73.21093750,832.07031250
1,2811,8,1209.09621304,69.96025525,1207.43750000,75.20312500
1,3490,2,1049.06924929,828.11138290,1049.37500000,835.59375000
1,515,13,369.92607657,69.97410809,372.35156250,66.24218750
1,4319,9,178.08372798,120.34080572,177.69531250,118.59375000
1,4159,14,1170.44274554,348.30469245,1172.94531250,351.48437500
1,2461,14,126.88510728,547.90728398,124.71093750,546.21875000
1,4929,6,366.96496851,114.04703108,363.03906250,112.90625000
1,355,16,189.10324756,953.03135883,188.19531250,950.21093750
1,7,19,249.96559404,69.97487841,244.39062500,68.07812500
1,4789,3,1148.87783886,405.97518567,1152.10937500,402.28906250
1,1431,4,1032.09484982,907.91873651,1031.03906250,911.76562500
1,1595,1,789.04898662,953.02970723,793.90625000,955.99218750
1,3683,21,1151.89348936,113.95292530,1147.44531250,117.53906250
1,971,10,928.89102384,828.07638325,931.11718750,833.03906250
1,828,13,206.64781312,644.58892393,200.92187500,641.25781250
1,4468,12,251.89233915,907.91294034,251.69531250,907.65625000
1,4006,15,1050.16893581,219.78337448,1054.47656250,222.56250000
1,1289,4,909.87456120,70.04295052,912.55468750,68.20312500
1,4790,6,99.93593877,70.01123682,101.35156250,76.00000000
1,3491,2,928.90970993,827.89485840,929.06250000,835.28125000
1,4320,12,1119.96051279,70.06271895,1117.81250000,70.77343750
1,1119,4,1188.52147845,729.21488253,1187.57031250,732.50781250
1,2811,12,1157.02166741,99.24501390,1155.57031250,100.47656250
1,4159,15,69.93508412,352.90878814,70.35937500,350.29687500
