targetID,frameIndex,cameraID,rotationZ,rotationX,expectedX,expectedY,actualX,actualY
1,605,7,-4.83325000,-46.34130000,270.00047324,29.99974075,266.09375000,30.41406250
1,2741,6,-48.80130000,46.57880000,223.99946673,608.27485749,219.82031250,607.07812500
1,3025,6,-64.83310000,51.36460000,49.45054344,287.97454461,51.17187500,288.39062500
1,2637,12,-13.50930000,15.41540000,1187.99942340,77.99924996,1181.40625000,81.39062500
1,798,4,-34.52040000,-37.49250000,708.99989000,993.00112681,713.06250000,993.46093750
1,1295,19,68.15710000,-18.50000000,1209.99836808,938.28461805,1197.77343750,934.40625000
1,317,13,43.49490000,-24.11570000,989.99807156,29.99965776,988.25000000,33.07031250
1,2262,15,36.33400000,30.10740000,551.11307793,276.69471444,548.74218750,274.89843750
1,2154,21,64.82590000,22.79210000,349.00009106,993.00140254,346.17187500,991.17187500
1,2026,2,-65.51020000,-20.18520000,29.99930757,33.00004690,37.38281250,42.39843750
1,1392,11,11.97460000,11.59180000,213.78061782,870.83695595,214.38281250,870.50000000
1,1220,14,39.02980000,-17.87250000,117.42559244,146.25074674,117.78906250,153.10156250
1,694,4,-39.41480000,-18.81630000,87.08486540,954.61774570,96.37500000,954.05468750
1,111,19,96.56890000,-53.25510000,90.99801956,224.00053484,88.14062500,224.56250000
1,2827,9,-17.90010000,23.08020000,332.00013679,268.00024383,332.06250000,263.22656250
1,2927,3,-74.46910000,48.75460000,1132.07620018,393.14041032,1134.28125000,391.96093750
1,997,1,-95.41120000,-25.82250000,947.99985471,944.00015732,952.61718750,944.54687500
1,2455,15,11.00890000,21.15890000,289.00036289,992.99772100,291.39062500,990.06250000
1,1112,20,69.78260000,-20.44820000,29.99824566,873.00047037,31.73437500,870.28906250
1,1566,12,4.39105000,17.32190000,1139.27677342,633.19609651,1142.73437500,632.64062500
1,3,19,104.73100000,-50.07430000,150.00209694,30.00772914,147.30468750,33.14843750
1,1740,9,-24.30210000,15.51370000,77.52424238,444.18458652,77.26562500,438.07031250
1,2548,15,27.74320000,33.63850000,650.00028529,503.00051941,649.39062500,503.09375000
1,1838,8,-38.45610000,-20.15230000,43.54777169,877.58276540,50.71875000,876.64062500
1,3025,3,-64.83310000,51.36460000,1249.00037103,209.99935867,1243.96093750,211.98437500
1,606,10,-5.38251000,-44.56010000,893.29854722,377.92528419,898.85156250,374.93750000
1,220,16,50.59980000,-17.54270000,30.00010628,392.99991371,34.71875000,393.96093750
1,1915,5,-64.87770000,-2.95496000,680.00001531,164.00045511,678.51562500,160.48437500
1,2742,9,-48.23760000,44.85020000,1068.99929356,992.99966529,1064.59375000,993.28906250
1,404,10,6.66504000,-51.11520000,1103.26714867,637.75800307,1110.07031250,637.40625000
1,1295,16,68.15710000,-18.50000000,77.72926591,943.36994099,85.16406250,938.03125000
1,510,13,15.41590000,-16.87370000,1244.74404633,885.27910652,1237.08593750,882.14843750
1,2263,18,36.70910000,28.25460000,749.99929028,30.00023161,751.52343750,29.50781250
1,1477,14,35.16960000,-11.49060000,332.00001501,268.00121924,326.92968750,268.99218750
1,2154,18,64.82590000,22.79210000,946.59097723,809.64876150,949.20312500,811.85156250
1,2828,12,-16.08540000,38.38950000,443.40517660,116.86864675,441.19531250,116.57812500
1,1221,16,39.03390000,-19.59520000,119.16391396,33.90139055,126.05468750,40.05468750
1,2637,9,-13.50930000,15.41540000,88.30937213,106.48735956,96.82812500,104.88281250
1,1665,11,-11.39840000,5.41388000,413.62614219,143.49553627,413.00000000,142.10937500
1,2455,12,11.00890000,21.15890000,1004.26311759,821.54121654,1007.50000000,820.72656250
1,799,7,-34.95510000,-35.64030000,658.30827594,733.12205478,659.79687500,736.89843750
1,1393,14,11.97220000,9.79260000,1008.99888922,992.99902662,1013.03125000,988.10156250
1,2349,21,70.67770000,29.77870000,551.53818391,797.66839260,546.10156250,800.17187500
1,2027,4,-66.88810000,-18.54200000,75.99511755,94.26934714,79.03906250,104.21875000
1,998,1,-96.02610000,-29.50500000,827.99991604,943.99909665,832.57031250,946.45312500
1,3026,3,-67.79100000,51.71740000,1248.99904394,269.99925252,1245.25000000,270.68750000
1,1741,8,-28.20810000,15.52180000,1188.00043327,557.99918926,1190.15625000,555.21875000
1,885,4,-58.95700000,-30.65400000,455.00032767,364.99857080,451.11718750,364.86718750
1,1113,19,71.67070000,-20.55690000,1146.50722187,819.16960871,1139.64062500,819.08593750
1,1567,11,2.44238000,17.35310000,30.00232975,573.00075193,32.89843750,572.76562500
1,112,19,102.13200000,-52.38790000,91.00371028,104.00665191,90.80468750,106.31250000
1,510,10,15.41590000,-16.87370000,30.00171258,993.00032020,38.82812500,989.37500000
1,2549,15,27.06430000,33.63820000,649.99899825,520.00018061,649.50000000,520.18750000
1,2928,6,-73.38760000,45.29450000,211.00045974,78.00062536,211.40625000,80.28125000
1,694,8,-39.41480000,-18.81630000,87.68675151,908.28802636,93.63281250,906.90625000
1,1838,5,-38.45610000,-20.15230000,1248.99925741,989.99857124,1239.59375000,980.71093750
1,318,16,43.18070000,-22.33180000,201.17588827,175.90212724,203.39062500,176.94531250
1,1665,8,-11.39840000,5.41388000,870.00089128,29.99930349,869.28906250,29.31250000
1,4,19,104.10500000,-48.34940000,209.99999243,29.99732799,205.99218750,31.71093750
1,2155,21,65.14530000,20.98750000,288.99904169,992.99905768,287.08593750,990.22656250
1,606,7,-5.38251000,-44.56010000,329.99980766,30.00052233,325.66406250,29.11718750
1,2742,6,-48.23760000,44.85020000,278.82633546,623.40139078,274.10156250,622.63281250
1,405,13,6.50946000,-51.59800000,91.00021053,943.99973084,95.37500000,936.78906250
1,2027,1,-66.88810000,-18.54200000,1194.43076190,85.86540348,1191.00781250,85.53125000
1,2349,18,70.67770000,29.77870000,708.00024934,944.00072383,708.70312500,945.89062500
1,1221,13,39.03390000,-19.59520000,1152.42744465,146.99740335,1149.84375000,150.07031250
1,1295,20,68.15710000,-18.50000000,93.92715986,925.17217725,93.78125000,922.40625000
1,2456,15,11.32240000,19.37640000,229.00008704,992.99956989,232.72656250,988.94531250
1,1393,11,11.97220000,9.79260000,272.88764935,870.83484668,272.75781250,871.45312500
1,220,17,50.59980000,-17.54270000,1141.31719949,396.53375321,1146.45312500,397.00781250
1,3027,3,-70.81920000,51.99770000,1248.99845972,329.99966420,1246.47656250,329.92968750
1,2263,15,36.70910000,28.25460000,494.49131401,261.13486362,491.57812500,259.64062500
1,999,1,-96.69170000,-33.23490000,707.99838620,943.99910062,711.39062500,947.74218750
1,1916,5,-64.87180000,-10.55500000,919.99987258,163.99806336,919.45312500,161.64062500
1,1741,9,-28.20810000,15.52180000,77.54726914,564.44412565,76.23437500,558.29687500
1,1113,20,71.67070000,-20.55690000,29.99895574,813.00127050,30.53125000,811.57812500
1,2638,11,-9.76385000,15.64250000,79.77001921,195.00183189,82.05468750,196.96093750
1,2828,9,-16.08540000,38.38950000,812.00016572,268.00094982,817.24218750,267.66406250
1,1478,14,35.16580000,3.88733000,812.00054892,268.00157480,811.35937500,264.34375000
1,2928,3,-73.38760000,45.29450000,1021.41780099,362.42591108,1025.06250000,360.76562500
1,510,14,15.41590000,-16.87370000,150.98936962,881.41971353,154.64062500,882.62500000
1,5,19,103.50900000,-46.59590000,270.00386156,30.00570310,264.63281250,30.49218750
1,113,19,98.46180000,-49.66640000,199.99911547,163.99950681,195.39062500,163.08593750
1,2743,9,-47.70070000,43.09330000,1009.00221926,993.00050398,1005.64843750,993.87500000
1,2550,15,27.06350000,32.92140000,628.00078766,519.99981003,627.26562500,520.25000000
1,886,4,-59.74640000,-42.54010000,823.00033187,364.99955358,824.07031250,361.66406250
1,2456,12,11.32240000,19.37640000,1061.76957187,837.39774378,1064.02343750,835.65625000
1,1567,12,2.44238000,17.35310000,1139.26968146,574.25373548,1142.83593750,573.67187500
1,1221,17,39.03390000,-19.59520000,1229.99922142,30.00013852,1227.70312500,35.15625000
1,3028,3,-73.90280000,52.20150000,1248.99842879,390.00101722,1247.45312500,389.28906250
1,2155,18,65.14530000,20.98750000,1003.94442292,825.39226619,1006.11718750,827.17187500
1,2350,21,71.44010000,33.52340000,665.39482943,766.26831070,661.13281250,768.65625000
1,1295,17,68.15710000,-18.50000000,1188.00030032,943.99930351,1185.68750000,942.60156250
1,1666,11,-11.39770000,7.26166000,354.51330697,143.44569731,353.39843750,142.65625000
1,1394,14,11.97010000,7.97028000,948.99964947,993.00027542,953.91406250,989.47656250
1,1917,5,-64.86410000,-15.40780000,1077.99880398,163.99990736,1075.57031250,163.63281250
1,405,10,6.50946000,-51.59800000,1118.86027966,633.47613018,1125.82812500,632.90625000
1,799,4,-34.95510000,-35.64030000,649.00157794,992.99843217,652.98437500,994.14062500
1,1000,1,-97.41460000,-36.97940000,588.00007142,944.00205138,590.11718750,948.22656250
1,221,16,48.69240000,-17.50200000,30.00096370,332.99964812,35.38281250,334.32812500
1,2027,5,-66.88810000,-18.54200000,1187.59983012,98.75171799,1180.07031250,102.24218750
1,318,13,43.18070000,-22.33180000,1050.00076593,30.00129418,1047.34375000,34.16406250
1,1742,8,-32.10030000,15.45500000,1187.99876143,678.00082435,1189.96875000,674.45312500
1,2829,12,-15.43580000,42.61110000,313.34329266,153.65720822,310.92968750,154.67187500
1,2929,6,-72.40920000,41.72050000,330.99813295,78.00050653,329.67187500,78.44531250
1,2264,18,37.06950000,26.40810000,809.99888858,29.99957797,811.52343750,29.95312500
1,694,5,-39.41480000,-18.81630000,1199.64810342,958.63085181,1193.58593750,951.85156250
